block_height,block_time
677317,1617289832
677318,1617290378
677319,1617290496
677320,1617290670
677321,1617290988
677322,1617291094
677323,1617291139
677324,1617291406
677325,1617291432
677326,1617291776
677327,1617291881
677328,1617292730
677329,1617293315
677330,1617293452
677331,1617295781
677332,1617296100
677333,1617296142
677334,1617297183
677335,1617297709
677336,1617298704
677337,1617298964
677338,1617299551
677339,1617299709
677340,1617300878
677341,1617301509
677342,1617301585
677343,1617302354
677344,1617303659
677345,1617305137
677346,1617306191
677347,1617307464
677348,1617308655
677349,1617309040
677350,1617309358
677351,1617310133
677352,1617310426
677353,1617311262
677354,1617311298
677355,1617312131
677356,1617312951
677357,1617313259
677358,1617313663
677359,1617314272
677360,1617314759
677361,1617316435
677362,1617318244
677363,1617319927
677364,1617320050
677365,1617320338
677366,1617320678
677367,1617321279
677368,1617321819
677369,1617323705
677370,1617323744
677371,1617324466
677372,1617324583
677373,1617325428
677374,1617326202
677375,1617327513
677376,1617328801
677377,1617329622
677378,1617330114
677379,1617330477
677380,1617330701
677381,1617333610
677382,1617333707
677383,1617333791
677384,1617334040
677385,1617335727
677386,1617336273
677387,1617336462
677388,1617337364
677389,1617338036
677390,1617338087
677391,1617338756
677392,1617338897
677393,1617340167
677394,1617340674
677395,1617340734
677396,1617341107
677397,1617341670
677398,1617341830
677399,1617342074
677400,1617342392
677401,1617344008
677402,1617344556
677403,1617344866
677404,1617345961
677405,1617346057
677406,1617346437
677407,1617346610
677408,1617347286
677409,1617347538
677410,1617348142
677411,1617348415
677412,1617348670
677413,1617348948
677414,1617349616
677415,1617350124
677416,1617350306
677417,1617350998
677418,1617351396
677419,1617351410
677420,1617352505
677421,1617353134
677422,1617353170
677423,1617353533
677424,1617354287
677425,1617354310
677426,1617354358
677427,1617354940
677428,1617355144
677429,1617355618
677430,1617356046
677431,1617357380
677432,1617358782
677433,1617358888
677434,1617359516
677435,1617360807
677436,1617360872
677437,1617361161
677438,1617361364
677439,1617361841
677440,1617362238
677441,1617363233
677442,1617363768
677443,1617364474
677444,1617364712
677445,1617365788
677446,1617365824
677447,1617366719
677448,1617366749
677449,1617369108
677450,1617369197
677451,1617371076
677452,1617371249
677453,1617371712
677454,1617372337
677455,1617372919
677456,1617373387
677457,1617373650
677458,1617373930
677459,1617374151
677460,1617374170
677461,1617374263
677462,1617374276
677463,1617374702
677464,1617376700
677465,1617377670
677466,1617377910
677467,1617379001
677468,1617379423
677469,1617379447
677470,1617379901
677471,1617380245
677472,1617380509
677473,1617380844
677474,1617382948
677475,1617384851
677476,1617386209
677477,1617387185
677478,1617388523
677479,1617389488
677480,1617391072
677481,1617393085
677482,1617393437
677483,1617394723
677484,1617395121
677485,1617395124
677486,1617395443
677487,1617397289
677488,1617398239
677489,1617398469
677490,1617399089
677491,1617399311
677492,1617400870
677493,1617402966
677494,1617403078
677495,1617403389
677496,1617403670
677497,1617404532
677498,1617404910
677499,1617404917
677500,1617405082
677501,1617405311
677502,1617405644
677503,1617405984
677504,1617406332
677505,1617406499
677506,1617406858
677507,1617407422
677508,1617408313
677509,1617408696
677510,1617410638
677511,1617411264
677512,1617411558
677513,1617411765
677514,1617412851
677515,1617412870
677516,1617412935
677517,1617413196
677518,1617414968
677519,1617416538
677520,1617416665
677521,1617417223
677522,1617417387
677523,1617417678
677524,1617419589
677525,1617419710
677526,1617420926
677527,1617421746
677528,1617421997
677529,1617422789
677530,1617423206
677531,1617423434
677532,1617423738
677533,1617424282
677534,1617425277
677535,1617426610
677536,1617426773
677537,1617428353
677538,1617428676
677539,1617429992
677540,1617430579
677541,1617431427
677542,1617431484
677543,1617431526
677544,1617432501
677545,1617432672
677546,1617432733
677547,1617432814
677548,1617432818
677549,1617432828
677550,1617433026
677551,1617433450
677552,1617433855
677553,1617434384
677554,1617434800
677555,1617434994
677556,1617437009
677557,1617437331
677558,1617437902
677559,1617438005
677560,1617439170
677561,1617441582
677562,1617442015
677563,1617442102
677564,1617443511
677565,1617444038
677566,1617444310
677567,1617444514
677568,1617445130
677569,1617445585
677570,1617445848
677571,1617445933
677572,1617446215
677573,1617448471
677574,1617448503
677575,1617448721
677576,1617449180
677577,1617449397
677578,1617449908
677579,1617450633
677580,1617451394
677581,1617452426
677582,1617453300
677583,1617453790
677584,1617454010
677585,1617454878
677586,1617455310
677587,1617455383
677588,1617458384
677589,1617459637
677590,1617461843
677591,1617463437
677592,1617465369
677593,1617465368
677594,1617466619
677595,1617468865
677596,1617469008
677597,1617470361
677598,1617470477
677599,1617471548
677600,1617473370
677601,1617474069
677602,1617474393
677603,1617474515
677604,1617475062
677605,1617475276
677606,1617475420
677607,1617475708
677608,1617475821
677609,1617478502
677610,1617480014
677611,1617481161
677612,1617481494
677613,1617483553
677614,1617484487
677615,1617484569
677616,1617484947
677617,1617485104
677618,1617485445
677619,1617485806
677620,1617486103
677621,1617486114
677622,1617486380
677623,1617487358
677624,1617487753
677625,1617487961
677626,1617488076
677627,1617488149
677628,1617488364
677629,1617488538
677630,1617489026
677631,1617489824
677632,1617490517
677633,1617491425
677634,1617492022
677635,1617492369
677636,1617493029
677637,1617493257
677638,1617493497
677639,1617494967
677640,1617495055
677641,1617495849
677642,1617495957
677643,1617495989
677644,1617496566
677645,1617497035
677646,1617497128
677647,1617497393
677648,1617497735
677649,1617498299
677650,1617498473
677651,1617498516
677652,1617498795
677653,1617499939
677654,1617499978
677655,1617500897
677656,1617501111
677657,1617501372
677658,1617501485
677659,1617502605
677660,1617503402
677661,1617504349
677662,1617504437
677663,1617504534
677664,1617505014
677665,1617505882
677666,1617506103
677667,1617506286
677668,1617506557
677669,1617507055
677670,1617507174
677671,1617507722
677672,1617510004
677673,1617510449
677674,1617510784
677675,1617511374
677676,1617511585
677677,1617511859
677678,1617512298
677679,1617512395
677680,1617513121
677681,1617513277
677682,1617513635
677683,1617513899
677684,1617516056
677685,1617516212
677686,1617517165
677687,1617517247
677688,1617517465
677689,1617518973
677690,1617519431
677691,1617519748
677692,1617519863
677693,1617519917
677694,1617520260
677695,1617520867
677696,1617521948
677697,1617522624
677698,1617523089
677699,1617523131
677700,1617524999
677701,1617525412
677702,1617528905
677703,1617529344
677704,1617530198
677705,1617530751
677706,1617531810
677707,1617532610
677708,1617533072
677709,1617533316
677710,1617533429
677711,1617533939
677712,1617534087
677713,1617534220
677714,1617535332
677715,1617536108
677716,1617536611
677717,1617536826
677718,1617537783
677719,1617537811
677720,1617538396
677721,1617539093
677722,1617539291
677723,1617540312
677724,1617540545
677725,1617542296
677726,1617542537
677727,1617543295
677728,1617543696
677729,1617543991
677730,1617544690
677731,1617545021
677732,1617545163
677733,1617545693
677734,1617546321
677735,1617546360
677736,1617546477
677737,1617546571
677738,1617547077
677739,1617547725
677740,1617548984
677741,1617549773
677742,1617549906
677743,1617550529
677744,1617550816
677745,1617551429
677746,1617552371
677747,1617554361
677748,1617554632
677749,1617555171
677750,1617555681
677751,1617556267
677752,1617556453
677753,1617556574
677754,1617558486
677755,1617561911
677756,1617562218
677757,1617562391
677758,1617563137
677759,1617563387
677760,1617563420
677761,1617564195
677762,1617564215
677763,1617565032
677764,1617565597
677765,1617565616
677766,1617570324
677767,1617570726
677768,1617570972
677769,1617571156
677770,1617572706
677771,1617572797
677772,1617573457
677773,1617575468
677774,1617575525
677775,1617576021
677776,1617576238
677777,1617576447
677778,1617576758
677779,1617576968
677780,1617577070
677781,1617577858
677782,1617578469
677783,1617578887
677784,1617580242
677785,1617580892
677786,1617581142
677787,1617581495
677788,1617581907
677789,1617582503
677790,1617582588
677791,1617582911
677792,1617583045
677793,1617583125
677794,1617583184
677795,1617583321
677796,1617583895
677797,1617584340
677798,1617584507
677799,1617584663
677800,1617585208
677801,1617585795
677802,1617587023
677803,1617587304
677804,1617587797
677805,1617588312
677806,1617588901
677807,1617589746
677808,1617590619
677809,1617590827
677810,1617591178
677811,1617591905
677812,1617592042
677813,1617592363
677814,1617593233
677815,1617593287
677816,1617594049
677817,1617594834
677818,1617597841
677819,1617597994
677820,1617598702
677821,1617599755
677822,1617600357
677823,1617601346
677824,1617601597
677825,1617601936
677826,1617602861
677827,1617603402
677828,1617603700
677829,1617603968
677830,1617604426
677831,1617604590
677832,1617604624
677833,1617605666
677834,1617605828
677835,1617606338
677836,1617607848
677837,1617607951
677838,1617608176
677839,1617608847
677840,1617609184
677841,1617609320
677842,1617610293
677843,1617611372
677844,1617611650
677845,1617612940
677846,1617613552
677847,1617613603
677848,1617613770
677849,1617614362
677850,1617614604
677851,1617614775
677852,1617615322
677853,1617615715
677854,1617617137
677855,1617618209
677856,1617618654
677857,1617618861
677858,1617619482
677859,1617619483
677860,1617620771
677861,1617620929
677862,1617621894
677863,1617622049
677864,1617622945
677865,1617622996
677866,1617623675
677867,1617624196
677868,1617624835
677869,1617624868
677870,1617627956
677871,1617628174
677872,1617628800
677873,1617629101
677874,1617630033
677875,1617630565
677876,1617630914
677877,1617631588
677878,1617631975
677879,1617632050
677880,1617632149
677881,1617632450
677882,1617633043
677883,1617633117
677884,1617634386
677885,1617634798
677886,1617635501
677887,1617636861
677888,1617636999
677889,1617637236
677890,1617637500
677891,1617638380
677892,1617638820
677893,1617640251
677894,1617640362
677895,1617640944
677896,1617641447
677897,1617641855
677898,1617643561
677899,1617643803
677900,1617644067
677901,1617644151
677902,1617644495
677903,1617644863
677904,1617645436
677905,1617645477
677906,1617646052
677907,1617646172
677908,1617647562
677909,1617647705
677910,1617647811
677911,1617649816
677912,1617650181
677913,1617650324
677914,1617651688
677915,1617651871
677916,1617654144
677917,1617654478
677918,1617654830
677919,1617655099
677920,1617655827
677921,1617656058
677922,1617656186
677923,1617656826
677924,1617657440
677925,1617657798
677926,1617657922
677927,1617657962
677928,1617658708
677929,1617658969
677930,1617659013
677931,1617659888
677932,1617662176
677933,1617662630
677934,1617663303
677935,1617663556
677936,1617664637
677937,1617664964
677938,1617665408
677939,1617666075
677940,1617667149
677941,1617667642
677942,1617668163
677943,1617668393
677944,1617668572
677945,1617668976
677946,1617669406
677947,1617669674
677948,1617670074
677949,1617671596
677950,1617672115
677951,1617672512
677952,1617672757
677953,1617672987
677954,1617674636
677955,1617674792
677956,1617675407
677957,1617675437
677958,1617675530
677959,1617675996
677960,1617676100
677961,1617676317
677962,1617676339
677963,1617676463
677964,1617677359
677965,1617677637
677966,1617677913
677967,1617678713
677968,1617680650
677969,1617680850
677970,1617681383
677971,1617682511
677972,1617683324
677973,1617683769
677974,1617683975
677975,1617685349
677976,1617687003
677977,1617688187
677978,1617688294
677979,1617688299
677980,1617688423
677981,1617688540
677982,1617689211
677983,1617693052
677984,1617694290
677985,1617696364
677986,1617696454
677987,1617697145
677988,1617697209
677989,1617699203
677990,1617699330
677991,1617700430
677992,1617701246
677993,1617701438
677994,1617703253
677995,1617703440
677996,1617703573
677997,1617704442
677998,1617704680
677999,1617706416
678000,1617706538
678001,1617707855
678002,1617708562
678003,1617708742
678004,1617709603
678005,1617709712
678006,1617710279
678007,1617710951
678008,1617711770
678009,1617712254
678010,1617712929
678011,1617712978
678012,1617713630
678013,1617714454
678014,1617714468
678015,1617715375
678016,1617715426
678017,1617715651
678018,1617715967
678019,1617716486
678020,1617717580
678021,1617718186
678022,1617718465
678023,1617719034
678024,1617719323
678025,1617720789
678026,1617720994
678027,1617721789
678028,1617723138
678029,1617723430
678030,1617724215
678031,1617724831
678032,1617725785
678033,1617725793
678034,1617726829
678035,1617727723
678036,1617728052
678037,1617728090
678038,1617728103
678039,1617728749
678040,1617728774
678041,1617728917
678042,1617729164
678043,1617729903
678044,1617732110
678045,1617732755
678046,1617733667
678047,1617734244
678048,1617734318
678049,1617734648
678050,1617734978
678051,1617735208
678052,1617736043
678053,1617736210
678054,1617736423
678055,1617736451
678056,1617736620
678057,1617737037
678058,1617737497
678059,1617737539
678060,1617737799
678061,1617738788
678062,1617739645
678063,1617741240
678064,1617741347
678065,1617742164
678066,1617742246
678067,1617743222
678068,1617743654
678069,1617744213
678070,1617744541
678071,1617745533
678072,1617745815
678073,1617746128
678074,1617747130
678075,1617747645
678076,1617747725
678077,1617749088
678078,1617750964
678079,1617751457
678080,1617751985
678081,1617752156
678082,1617752246
678083,1617752799
678084,1617753413
678085,1617754064
678086,1617755319
678087,1617756102
678088,1617756195
678089,1617756221
678090,1617757145
678091,1617757554
678092,1617758292
678093,1617758594
678094,1617760363
678095,1617760448
678096,1617762056
678097,1617763663
678098,1617763807
678099,1617764156
678100,1617764721
678101,1617764925
678102,1617765536
678103,1617766797
678104,1617767302
678105,1617767335
678106,1617767575
678107,1617768009
678108,1617768024
678109,1617769072
678110,1617769287
678111,1617770042
678112,1617771278
678113,1617771900
678114,1617773004
678115,1617774353
678116,1617774464
678117,1617774475
678118,1617774797
678119,1617776014
678120,1617776136
678121,1617776221
678122,1617778570
678123,1617779017
678124,1617779235
678125,1617779497
678126,1617779857
678127,1617780029
678128,1617780348
678129,1617780926
678130,1617782283
678131,1617782647
678132,1617783204
678133,1617783693
678134,1617783872
678135,1617785224
678136,1617785575
678137,1617786003
678138,1617786135
678139,1617786385
678140,1617786660
678141,1617788220
678142,1617788685
678143,1617788808
678144,1617788815
678145,1617790084
678146,1617790349
678147,1617790864
678148,1617791795
678149,1617792637
678150,1617792651
678151,1617793039
678152,1617793565
678153,1617794325
678154,1617794687
678155,1617795037
678156,1617795270
678157,1617795390
678158,1617795885
678159,1617797514
678160,1617798493
678161,1617798882
678162,1617799465
678163,1617801231
678164,1617801262
678165,1617801272
678166,1617801490
678167,1617803032
678168,1617803231
678169,1617803344
678170,1617804402
678171,1617804497
678172,1617804619
678173,1617804886
678174,1617805114
678175,1617806209
678176,1617807841
678177,1617807938
678178,1617807959
678179,1617808225
678180,1617808925
678181,1617809031
678182,1617809055
678183,1617809353
678184,1617810761
678185,1617811189
678186,1617812067
678187,1617812316
678188,1617812444
678189,1617812466
678190,1617813450
678191,1617813552
678192,1617813619
678193,1617814243
678194,1617814261
678195,1617814461
678196,1617814648
678197,1617814834
678198,1617814855
678199,1617815169
678200,1617819941
678201,1617820474
678202,1617820737
678203,1617820830
678204,1617821472
678205,1617822028
678206,1617822069
678207,1617822205
678208,1617822980
678209,1617823832
678210,1617824196
678211,1617824291
678212,1617825114
678213,1617826636
678214,1617826736
678215,1617827162
678216,1617828956
678217,1617829160
678218,1617829883
678219,1617830099
678220,1617830550
678221,1617830726
678222,1617831239
678223,1617831747
678224,1617831951
678225,1617832702
678226,1617832844
678227,1617832903
678228,1617832990
678229,1617833129
678230,1617833581
678231,1617833874
678232,1617835146
678233,1617835204
678234,1617835266
678235,1617835822
678236,1617835912
678237,1617836329
678238,1617836586
678239,1617837086
678240,1617838513
678241,1617839825
678242,1617840337
678243,1617840836
678244,1617842685
678245,1617842912
678246,1617843018
678247,1617843036
678248,1617843366
678249,1617843533
678250,1617843878
678251,1617843894
678252,1617844465
678253,1617846019
678254,1617846095
678255,1617846372
678256,1617846612
678257,1617846987
678258,1617847072
678259,1617847108
678260,1617847551
678261,1617848099
678262,1617848116
678263,1617848490
678264,1617849196
678265,1617849938
678266,1617850574
678267,1617852280
678268,1617852583
678269,1617854155
678270,1617855955
678271,1617857067
678272,1617859329
678273,1617859816
678274,1617861177
678275,1617861377
678276,1617861632
678277,1617861981
678278,1617862574
678279,1617862950
678280,1617863531
678281,1617863727
678282,1617863845
678283,1617864147
678284,1617864300
678285,1617864495
678286,1617865081
678287,1617865403
678288,1617865802
678289,1617866260
678290,1617866501
678291,1617867960
678292,1617869326
678293,1617870679
678294,1617871942
678295,1617873007
678296,1617873201
678297,1617873570
678298,1617874877
678299,1617875483
678300,1617875700
678301,1617876858
678302,1617878449
678303,1617878688
678304,1617878898
678305,1617878904
678306,1617879588
678307,1617879670
678308,1617879817
678309,1617879849
678310,1617880251
678311,1617880636
678312,1617881103
678313,1617881200
678314,1617881250
678315,1617881898
678316,1617883768
678317,1617883975
678318,1617884034
678319,1617885754
678320,1617886033
678321,1617886263
678322,1617887125
678323,1617887190
678324,1617887558
678325,1617888328
678326,1617888779
678327,1617889022
678328,1617889947
678329,1617890445
678330,1617890661
678331,1617891577
678332,1617891704
678333,1617891731
678334,1617893576
678335,1617894397
678336,1617894413
678337,1617895569
678338,1617896022
678339,1617896223
678340,1617896369
678341,1617896787
678342,1617897225
678343,1617897495
678344,1617897555
678345,1617900265
678346,1617901142
678347,1617905391
678348,1617905614
678349,1617906956
678350,1617908126
678351,1617908537
678352,1617909400
678353,1617909686
678354,1617910280
678355,1617910356
678356,1617911487
678357,1617912145
678358,1617912616
678359,1617913473
678360,1617913731
678361,1617914160
678362,1617914683
678363,1617915885
678364,1617915914
678365,1617916094
678366,1617916550
678367,1617918586
678368,1617918626
678369,1617920500
678370,1617920697
678371,1617921844
678372,1617921927
678373,1617922167
678374,1617922320
678375,1617923591
678376,1617926915
678377,1617926977
678378,1617928076
678379,1617928612
678380,1617928717
678381,1617931022
678382,1617931477
678383,1617931697
678384,1617932546
678385,1617933178
678386,1617933326
678387,1617933498
678388,1617934732
678389,1617935045
678390,1617935866
678391,1617936027
678392,1617936172
678393,1617936539
678394,1617937090
678395,1617939215
678396,1617939495
678397,1617941225
678398,1617941557
678399,1617942125
678400,1617942130
678401,1617943077
678402,1617943090
678403,1617944914
678404,1617945275
678405,1617945659
678406,1617946291
678407,1617946776
678408,1617948193
678409,1617950639
678410,1617952005
678411,1617953901
678412,1617954908
678413,1617955045
678414,1617955318
678415,1617955356
678416,1617955500
678417,1617955529
678418,1617956020
678419,1617956178
678420,1617957065
678421,1617957243
678422,1617957464
678423,1617957678
678424,1617957729
678425,1617957937
678426,1617959946
678427,1617960021
678428,1617960158
678429,1617960716
678430,1617962955
678431,1617963057
678432,1617963626
678433,1617964522
678434,1617964714
678435,1617967237
678436,1617967781
678437,1617968122
678438,1617968495
678439,1617968673
678440,1617969195
678441,1617969703
678442,1617970598
678443,1617971405
678444,1617971476
678445,1617972191
678446,1617973948
678447,1617974332
678448,1617974360
678449,1617974831
678450,1617975556
678451,1617976241
678452,1617976972
678453,1617977119
678454,1617978447
678455,1617978785
678456,1617979100
678457,1617979651
678458,1617979661
678459,1617980411
678460,1617980409
678461,1617980588
678462,1617980887
678463,1617981366
678464,1617981595
678465,1617981894
678466,1617982471
678467,1617983576
678468,1617983942
678469,1617985041
678470,1617985081
678471,1617985236
678472,1617985330
678473,1617985643
678474,1617985934
678475,1617986231
678476,1617986493
678477,1617986527
678478,1617987129
678479,1617987403
678480,1617987450
678481,1617987497
678482,1617987890
678483,1617987926
678484,1617988626
678485,1617990601
678486,1617991207
678487,1617991923
678488,1617992619
678489,1617992971
678490,1617994615
678491,1617995327
678492,1617996458
678493,1617996703
678494,1617996986
678495,1617997288
678496,1617998789
678497,1617998936
678498,1617999709
678499,1617999999
678500,1618000178
678501,1618000266
678502,1618000951
678503,1618001061
678504,1618001721
678505,1618002086
678506,1618003061
678507,1618004349
678508,1618005103
678509,1618005214
678510,1618006207
678511,1618006482
678512,1618006663
678513,1618006947
678514,1618007496
678515,1618007660
678516,1618007673
678517,1618008579
678518,1618008977
678519,1618009318
678520,1618009439
678521,1618009601
678522,1618010646
678523,1618010740
678524,1618010824
678525,1618011758
678526,1618012041
678527,1618012455
678528,1618012912
678529,1618013432
678530,1618013569
678531,1618013706
678532,1618014504
678533,1618014664
678534,1618015452
678535,1618015856
678536,1618016220
678537,1618016436
678538,1618016480
678539,1618016714
678540,1618017736
678541,1618018881
678542,1618018890
678543,1618020389
678544,1618020484
678545,1618021026
678546,1618021084
678547,1618021426
678548,1618021835
678549,1618022795
678550,1618023393
678551,1618023445
678552,1618024418
678553,1618024776
678554,1618026134
678555,1618027332
678556,1618027403
678557,1618027453
678558,1618027508
678559,1618028271
678560,1618029047
678561,1618029747
678562,1618030417
678563,1618030594
678564,1618030728
678565,1618030756
678566,1618031196
678567,1618031484
678568,1618031562
678569,1618034141
678570,1618034457
678571,1618035118
678572,1618036296
678573,1618036851
678574,1618038190
678575,1618038253
678576,1618039336
678577,1618039414
678578,1618039472
678579,1618039577
678580,1618039590
678581,1618041274
678582,1618041518
678583,1618043264
678584,1618044347
678585,1618044389
678586,1618044757
678587,1618045661
678588,1618045836
678589,1618047289
678590,1618047926
678591,1618048865
678592,1618049468
678593,1618050470
678594,1618051116
678595,1618051977
678596,1618052847
678597,1618054177
678598,1618054191
678599,1618054287
678600,1618054389
678601,1618055645
678602,1618055684
678603,1618055733
678604,1618056473
678605,1618056681
678606,1618056901
678607,1618057270
678608,1618057469
678609,1618057614
678610,1618057655
678611,1618058089
678612,1618058186
678613,1618058526
678614,1618058737
678615,1618060224
678616,1618062808
678617,1618063838
678618,1618065490
678619,1618065523
678620,1618066176
678621,1618067075
678622,1618067693
678623,1618067752
678624,1618067917
678625,1618068007
678626,1618068018
678627,1618068297
678628,1618068484
678629,1618068673
678630,1618069335
678631,1618069436
678632,1618069472
678633,1618069636
678634,1618069665
678635,1618069723
678636,1618070697
678637,1618071075
678638,1618071605
678639,1618071680
678640,1618075464
678641,1618076286
678642,1618077277
678643,1618077447
678644,1618078212
678645,1618078268
678646,1618078994
678647,1618079229
678648,1618079285
678649,1618080075
678650,1618080363
678651,1618080484
678652,1618080556
678653,1618080906
678654,1618081585
678655,1618082511
678656,1618082857
678657,1618082960
678658,1618082974
678659,1618083959
678660,1618084363
678661,1618084587
678662,1618085230
678663,1618085260
678664,1618086270
678665,1618086977
678666,1618087493
678667,1618088362
678668,1618088783
678669,1618089244
678670,1618090636
678671,1618091457
678672,1618093344
678673,1618094220
678674,1618094378
678675,1618094500
678676,1618094564
678677,1618094604
678678,1618095205
678679,1618095992
678680,1618096295
678681,1618096706
678682,1618096949
678683,1618097443
678684,1618098595
678685,1618100007
678686,1618101366
678687,1618101745
678688,1618103533
678689,1618103633
678690,1618103900
678691,1618104460
678692,1618104973
678693,1618105469
678694,1618105591
678695,1618106217
678696,1618108271
678697,1618108781
678698,1618109606
678699,1618109844
678700,1618110496
678701,1618111255
678702,1618112579
678703,1618112642
678704,1618113175
678705,1618114352
678706,1618114818
678707,1618114846
678708,1618115183
678709,1618115452
678710,1618115855
678711,1618115887
678712,1618116027
678713,1618116311
678714,1618116987
678715,1618117172
678716,1618118293
678717,1618118318
678718,1618118663
678719,1618120599
678720,1618121316
678721,1618122729
678722,1618122970
678723,1618125398
678724,1618125436
678725,1618126474
678726,1618127443
678727,1618129464
678728,1618129943
678729,1618131480
678730,1618131742
678731,1618133083
678732,1618133991
678733,1618134038
678734,1618134405
678735,1618134649
678736,1618134825
678737,1618135400
678738,1618136004
678739,1618136171
678740,1618136230
678741,1618136313
678742,1618136440
678743,1618136536
678744,1618136696
678745,1618136732
678746,1618136819
678747,1618137595
678748,1618138075
678749,1618138169
678750,1618138501
678751,1618138659
678752,1618139437
678753,1618139481
678754,1618140156
678755,1618142015
678756,1618142199
678757,1618142273
678758,1618143727
678759,1618144995
678760,1618145419
678761,1618146072
678762,1618147766
678763,1618148258
678764,1618148325
678765,1618149032
678766,1618149067
678767,1618149339
678768,1618150083
678769,1618150253
678770,1618150544
678771,1618150748
678772,1618151997
678773,1618152099
678774,1618154021
678775,1618155361
678776,1618156009
678777,1618156196
678778,1618156447
678779,1618156531
678780,1618157490
678781,1618158849
678782,1618158866
678783,1618159467
678784,1618161220
678785,1618162205
